"column_names","mean_vals","sd_vals","counts","min_vals","max_vals"
"Age",39.7575757575758,8.8883009590919,33,24,57
"Experience",12.8963636363636,10.8266193414028,33,0.58,39
"Difficult_Area_Experience",1.16666666666667,2.42235754833056,30,0,10
"Underprivileged_Experience",7.5,7.68226798408584,30,0,30
"Administrative_Career_Decision",0.375,0.491869376837965,32,0,1
"Progress_Outlook",0.774193548387097,0.425023718503241,31,0,1
"School_Underprivileged",0.666666666666667,0.478713553878169,33,0,1
"Student_Racial_Diversity",1,0,33,1,1
"Student_Economical_Diversity",0.96969696969697,0.174077655955698,33,0,1
"Student_Potential",0.787878787878788,0.415148750267281,33,0,1
"Student_Gaps",1,0,33,1,1
"Privileged_School_Potential",0.454545454545455,0.505649896847432,33,0,1
"Privileged_Family_Potential",0.939393939393939,0.24230584229878,33,0,1
"Most_Positive_Attitude",3.3125,0.895778630487862,32,2,5
"Current_Attitude",3.25,0.87988269012812,32,2,5
"Student_Engagement",3.18181818181818,1.07396885006461,33,2,5
"Student_Interference",2.78125,0.832190075992645,32,1,5
"Student_Social_Context",3.09375,0.689056156707691,32,2,4
"Student_Financial_Context",3.12121212121212,1.08275042592856,33,1,5
"Student_Appreciation",3.42424242424242,0.936426152664448,33,1,5
"Parent_Presence",3.12121212121212,0.96038975673863,33,1,5
"Parent_Interest",3.12121212121212,1.02340045185083,33,2,5
"Parent_Response",2.90909090909091,1.0417424214878,33,1,5
"Working_Hours",3.625,1.1845783243212,32,1,5
"Salary",2.33333333333333,1.13651514141549,33,1,5
"Vacation_Days",2.87878787878788,0.892943718746308,33,1,5
"Training",3.24242424242424,1.06155260792574,33,1,5
"Transfers",2.5625,0.913606818798349,32,1,5
"School_Administration",3.24242424242424,0.830297500534561,33,1,5
"Ministry_Administration",3.03030303030303,0.809507893910263,33,2,5
"Performance_Training",3.67741935483871,0.87128628185358,31,2,5
"Performance_Transfers",2.90322580645161,0.943569065116678,31,1,5
"Performance_School_Administration",3.32258064516129,0.87128628185358,31,2,5
"Performance_Ministry_Administration",3.09677419354839,0.943569065116678,31,1,5
"Respectful_Parents",3.7,0.836660026534076,30,3,5
"Respectful_School_Admins",3.23333333333333,0.935260735665815,30,1,5
"Respectful_Ministry_Workers",2.43333333333333,1.00630198159445,30,1,4
"Respectful_Financial_Workers",3.26666666666667,0.739679955644067,30,2,5
"Respectful_Society",3.86666666666667,0.899552890217607,30,2,5
"More_Respectful_Parents",3.5625,0.913606818798349,32,2,5
"More_Respectful_School_Admins",3.46875,0.949851431506782,32,1,5
"More_Respectful_Ministry_Workers",3.34375,0.901946819117474,32,2,5
"More_Respectful_Financial_Workers",3.375,0.793115538912532,32,2,5
"More_Respectful_Society",3.75,0.950381926622983,32,2,5
